epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.3837,0.4706,0.875,1,0.48169,0.000552773,0.000552773,0.000552773
2,33.5579,0.38383,0.91276,1,0.26934,0.00109747,0.00109747,0.00109747
3,47.1404,0.35865,0.91406,1,0.28028,0.00163116,0.00163116,0.00163116
4,60.5152,0.34077,0.92188,1,0.24357,0.00161749,0.00161749,0.00161749
5,73.1265,0.3501,0.92318,1,0.24215,0.00160099,0.00160099,0.00160099
6,86.3908,0.31701,0.92448,1,0.23879,0.00158448,0.00158448,0.00158448
7,99.9582,0.32905,0.92708,1,0.23903,0.00156798,0.00156798,0.00156798
8,112.772,0.30056,0.92318,1,0.23459,0.00155148,0.00155148,0.00155148
9,125.379,0.2821,0.92448,1,0.23357,0.00153497,0.00153497,0.00153497
10,137.872,0.27557,0.9362,1,0.20531,0.00151847,0.00151847,0.00151847
11,150.282,0.2785,0.94271,1,0.18356,0.00150197,0.00150197,0.00150197
12,163.655,0.25626,0.92839,1,0.22832,0.00148546,0.00148546,0.00148546
13,176.442,0.26235,0.92578,1,0.20919,0.00146896,0.00146896,0.00146896
14,189.47,0.24506,0.94661,1,0.16524,0.00145246,0.00145246,0.00145246
15,202.809,0.24066,0.93099,1,0.2153,0.00143595,0.00143595,0.00143595
16,215.665,0.22602,0.94271,1,0.17511,0.00141945,0.00141945,0.00141945
17,228.71,0.24057,0.94531,1,0.16731,0.00140295,0.00140295,0.00140295
18,241.556,0.23417,0.94401,1,0.17808,0.00138644,0.00138644,0.00138644
19,253.88,0.23949,0.94792,1,0.16112,0.00136994,0.00136994,0.00136994
20,267.481,0.22649,0.94792,1,0.15044,0.00135344,0.00135344,0.00135344
21,280.76,0.2219,0.9401,1,0.18203,0.00133693,0.00133693,0.00133693
22,294.047,0.21939,0.95052,1,0.14037,0.00132043,0.00132043,0.00132043
23,307.67,0.2071,0.95312,1,0.14196,0.00130393,0.00130393,0.00130393
24,320.897,0.20762,0.95703,1,0.13475,0.00128742,0.00128742,0.00128742
25,334.983,0.20395,0.95703,1,0.1514,0.00127092,0.00127092,0.00127092
26,347.314,0.1984,0.95703,1,0.14131,0.00125442,0.00125442,0.00125442
27,360.811,0.20813,0.95443,1,0.12367,0.00123791,0.00123791,0.00123791
